91616523,110001,1999,
323782085,110002,1999,
32399004,110003,1999,
345397341,110004,1999,
83924283,110005,1999,
79833183,110006,1999,
38413487,110007,1999,
25346880,110008,1999,
97965224,110009,1999,
126271193,110010,1999,
206099778,110011,1999,
455873425,110012,1999,
75494835,110013,1999,
61413796,110014,1999,
176432168,110015,1999,
127695076,110018,1999,
1393047007,110020,1999,
105101105,110025,1999,
14615116,110026,1999,
178232239,110028,1999,
40099104,110029,1999,
360183698,110030,1999,
77700854,110032,1999,
43002569,110033,1999,
64343844,110034,1999,
36379453,110037,1999,
41457502,110040,1999,
32724782,110045,1999,
35639406,110050,1999,
26537755,110060,1999,
22087301,110070,1999,
44718110,110080,1999,
16716281,110090,1999,
27400417,110092,1999,
15533824,110094,1999,
35967616,110100,1999,
19862733,110110,1999,
37092000,110120,1999,
41526550,110130,1999,
39144665,110140,1999,
26605601,110143,1999,
15840985,110145,1999,
14772306,110146,1999,
17183243,110147,1999,
20221562,110148,1999,
24269452,110149,1999,
30462573,110150,1999,
22019809,110155,1999,
32419138,110160,1999,
44571045,110170,1999,
21452635,110175,1999,
32728484,110180,1999,
21136481,120001,1999,
8899464,120005,1999,
64058464,120010,1999,
23359572,120013,1999,
15697695,120017,1999,
169014887,120020,1999,
42180289,120025,1999,
63174260,120030,1999,
9983425,120032,1999,
20951592,120033,1999,
13995374,120034,1999,
18317515,120035,1999,
46462120,120038,1999,
11315886,120039,1999,
1042431195,120040,1999,
24844127,120042,1999,
5116064,120043,1999,
49502514,120045,1999,
73004964,120050,1999,
62097277,120060,1999,
41143464,120070,1999,
39855688,120080,1999,
34441476,130002,1999,
25095671,130006,1999,
11883428,130008,1999,
18197567,130010,1999,
26209340,130014,1999,
16731315,130020,1999,
52638883,130030,1999,
33278618,130040,1999,
34865371,130050,1999,
44071176,130060,1999,
17548195,130063,1999,
16311775,130068,1999,
47805523,130070,1999,
40929884,130080,1999,
10501056,130083,1999,
15619570,130090,1999,
42381589,130100,1999,
33328904,130110,1999,
29722255,130115,1999,
